month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Feb15,26,57,6637.95347869613,4758.840005955925,7244.48,5008.4,1118.04,0.15432991739917842,-7.59,7714.629532940642,5530.7238549219755,5008.4
Feb15,27,58,6870.725673815596,5103.639033806107,7204.0,4992.266,1105.867,0.1535073570238756,-7.42,7985.157378108484,5931.449285089458,4992.266
Feb15,28,59,6970.679903712494,5260.153658714153,7232.96,4499.954000000006,1366.502999999997,0.18892721651993055,-7.02,8101.324184094659,6113.350582157588,4499.954000000006
Mar15,1,60,6735.59123234768,5103.262494916521,7241.12,5050.286,1095.417,0.15127728859623923,-9.73,7828.104130234473,5931.01167159198,5050.286
Mar15,2,61,6941.72061510093,5186.797216833349,7307.2,5035.7300000000005,1135.735,0.15542683928180423,-12.09,8067.6676988703,6028.095725403718,5035.7300000000005
Mar15,3,62,6927.192909917334,5219.816794307218,7442.4,5087.526,1177.437,0.15820662689455015,-11.98,8050.783599905925,6066.471078343848,5087.526
Mar15,4,63,6721.6594675739225,5336.688082015305,8876.8,6338.897999999999,1268.951,0.14295140140591206,-12.34,7811.912633214412,6202.298888918186,6338.897999999999
Mar15,5,64,6596.682345365535,5278.2553924179065,8846.72,6293.993999999999,1276.363,0.14427527942559504,-13.17,7666.664221783824,6134.38841706809,6293.993999999999
Mar15,6,65,6469.946531047082,4972.917072709653,9044.42,6437.09,1303.665,0.1441402544331201,-12.0,7519.371858382919,5779.524221903159,6437.09
Mar15,7,66,5953.510593523721,5319.136449549697,8586.24,6028.356,1278.942,0.14895251006261181,-13.36,6919.170011793268,6181.900381666657,6028.356
Mar15,8,67,6618.935192024474,5202.617844594737,9378.8,6751.294,1313.753,0.1400768755064614,-6.96,7692.526480170844,6046.482458988003,6751.294
Mar15,9,68,6242.099162078733,4612.094385173733,10839.068,8208.624,1315.222,0.12134087543320146,-2.4,7254.567646167902,5360.1760944489115,8208.624
Mar15,10,69,6598.140642100362,4909.041295734853,12082.564,9363.148,1359.708,0.11253472359012541,-5.19,7668.35905424904,5705.287793903045,9363.148
