month,day,t (day N),DemHeat,DemSteam,GenE,DemE (F - F*OwnUse%),OwnUse,Temp.Out(Deg.C),Heat load (MW),Steam load (MW),Electricity load (MW)
Mar19,4,63,5026.209672,1649.5103342384932,6938.065913043478,5710.028246434782,0.177,0,243.39420336659998,79.87753793549903,237.91784360144925
Mar19,5,64,6043.021632,1595.085936571224,7162.3830434782585,5894.641244782607,0.177,-7,292.6333225296,77.24203647846151,245.61005186594195
Mar19,6,65,5426.291592,1719.310298862003,7226.0270434782615,5947.020256782609,0.177,-5,262.76817034259994,83.2576012223925,247.79251069927537
Mar19,7,66,5578.688088,1667.8605074623067,6544.793217391302,5386.364817913041,0.177,-2,270.14797066139994,80.7661450738622,224.4318674130434
Mar19,8,67,5519.732424,1856.4770842846983,6824.147217391303,5616.273159913042,0.177,-6,267.29304263219996,89.89990280648651,234.0113816630434
Mar19,9,68,5226.3420719999995,1498.975784779407,6967.032869565217,5733.868051652174,0.177,-9,253.08561483659994,72.58790237794277,238.91116881884057
Mar19,10,69,5424.240048,1312.655537479382,6607.767478260868,5438.192634608695,0.177,-12,262.66882432439996,63.565344402439074,226.5913597753623
Mar19,11,70,4821.399432,1474.6149851986497,6118.545652173913,5035.5630717391305,0.177,-9,233.47626749459997,71.4082306582446,209.81512798913045
Mar19,12,71,6008.924728,1614.4161579739316,5649.327739130435,4649.396729304348,0.177,0,290.98217995339996,78.17810244988763,193.7248637210145
Mar19,13,72,5263.5700799999995,2017.4189342461536,5573.517043478261,4587.004526782609,0.177,-4,254.88838112399995,97.69351189086997,191.12518861594205
Mar19,14,73,5364.465264,3608.517618733913,5886.455043478261,4844.552500782609,0.177,-2,259.7742304092,174.7424656871897,201.8563541992754
Mar19,15,74,5318.939256,3300.4575973561923,6274.290782608696,5163.741314086957,0.177,-2,257.56963347179993,159.8246591519736,215.15588808695654
Mar19,16,75,5378.959704,1853.558132290323,6158.530695652173,5068.470762521738,0.177,-2,260.47612366619995,89.75855255615888,211.1862817717391
Mar19,17,76,5351.255664,1732.5336428238709,6301.460521739129,5186.102009391303,0.177,-6,259.1345555292,83.89794165374595,216.08758372463762
Mar19,18,77,5626.832928,2022.978494470961,5936.6001739130415,4885.821943130433,0.177,-7,272.4793845384,97.96273359475629,203.57591429710138
Mar19,19,78,5646.843744,2076.2624317342197,5440.167043478261,4477.257476782609,0.177,-7,273.4484083032,100.54300825672958,186.55239486594203
Mar19,20,79,5447.810208000001,1567.089434299971,5561.519043478262,4577.130172782609,0.177,-6,263.8102093224,75.88630585597609,190.7137571992754
Mar19,21,80,5262.400968,1778.0454957335337,6295.7333043478275,5181.388509478262,0.177,-5,254.83176687539995,86.10185313089636,215.89118789492758
Mar19,22,81,5180.234112,2909.684373147752,6428.48947826087,5290.646840608696,0.177,-1,250.85283687359995,140.90146576967987,220.44361835869566
Mar19,23,82,5102.494656000001,3275.4890806098524,6085.68356521739,5008.517574173912,0.177,1,247.08830371680003,158.61555872853208,208.68823225724634
Mar19,24,83,5080.034808,3202.727387563551,5608.250434782607,4615.590107826086,0.177,0,246.0006855774,155.09207374276494,192.3162544927536
Mar19,25,84,4789.619736,3049.9627332581977,5435.91695652174,4473.759655217392,0.177,1,231.93733571579995,147.69444535802822,186.40665230072466
Mar19,26,85,5134.0942319999995,3111.126388557822,5914.65,4867.75695,0.177,2,248.61851318459995,150.6562953659125,202.82320625
Mar19,27,86,4781.968008,3349.9759727930805,5686.797652173912,4680.234467739129,0.177,3,231.56680078739998,162.2225864825049,195.00976948913038
Mar19,28,87,4744.546848,3196.142477259738,5174.770956521739,4258.836497217391,0.177,0,229.75468111439997,154.7731994613028,177.4515207173913
Mar19,29,88,4595.699112,3457.7631984887366,4675.636173913044,3848.0485711304354,0.177,6,222.5467294986,167.44218288681705,160.3353571304348
Mar19,30,89,4565.574672000001,2844.9450095982484,4619.551739130434,3801.891081304347,0.177,6,221.08795349160002,137.76646208979517,158.41212838768112
Mar19,31,90,4371.510288,2762.4568886994603,4820.810956521738,3967.5274172173904,0.177,4,211.6903856964,133.77197483527135,165.31364238405794
Apr19,1,91,4341.058632,1792.172553209498,5074.302521739131,4191.373882956523,0.174,4,210.2157642546,86.78595588916993,174.64057845652178
Apr19,2,92,4293.058632,2024.9449673331997,5260.3206956521735,4345.024894608696,0.174,8,207.8913642546,98.05796004311019,181.042703942029
Apr19,3,93,4341.058632,1779.031253131922,5546.270869565217,4581.219738260869,0.174,7,210.2157642546,86.14958843291332,190.88415576086956
Apr19,4,94,4375.486632,2024.7325917690005,5489.448608695652,4534.284550782609,0.174,9,211.8829401546,98.04767575641385,188.92852294927536
Apr19,5,95,4033.65072,1765.9502157193488,6021.335652173912,4973.6232486956515,0.174,7,195.32953611599999,85.51613919620945,207.23430202898547
Apr19,6,96,4010.3999999999996,1931.801557268714,6540.774086956523,5402.679395826088,0.174,4,194.20361999999997,93.54749041073747,225.11164149275365
Apr19,7,97,4211.61324,2098.1612487243237,6719.927304347825,5550.659953391303,0.174,3,203.94737114699998,101.60345846947537,231.27749805797097
Apr19,8,98,4125.299424,2115.600853203671,6714.337130434785,5546.042469739132,0.174,4,199.7676246072,102.44797131638775,231.08510290579716
Apr19,9,99,4163.674272,2084.9923275124165,6740.7370434782615,5567.848797913044,0.174,4,201.6259266216,100.96575345978876,231.9936999130435
Apr19,10,100,3815.144856,2559.316905834571,6787.271913043476,5606.286600173911,0.174,6,184.74838965179995,123.9349211650391,233.5952750072463
Apr19,11,101,4176.418847999999,2651.0289213267406,6678.47008695652,5516.416291826086,0.174,6,202.24308271439995,128.3760755152474,229.85067882608692
Apr19,12,102,3824.071224,2373.1380348936127,6687.748782608697,5524.080494434784,0.174,8,185.1806490222,114.91920933972318,230.17002060144932
Apr19,13,103,4017.1320000000005,2143.0262644954896,6519.759739130435,5385.321544521739,0.174,10,194.5296171,103.77604685819408,224.3883976884058
Apr19,14,104,3777.1792319999995,2256.7490254342583,6018.948173913045,4971.651191652176,0.174,13,182.90990430959997,109.28307155665395,207.15213298550734
Apr19,15,105,4076.452056,2424.811478931075,6004.257739130435,4959.5168925217395,0.174,2,197.40219081179998,117.4214958672373,206.6465371884058
Apr19,16,106,4168.396728,2529.442900620726,6087.380173913042,5028.176023652173,0.174,-1,201.85461155339996,122.48827246255865,209.50733431884055
Apr19,17,107,4456.837464,2383.456471738073,6149.72947826087,5079.676549043478,0.174,4,215.8223541942,115.41887964391618,211.65318954347825
Apr19,18,108,4517.101632,1708.7012200113486,6137.0201739130425,5069.178663652173,0.174,-4,218.74064652959999,82.74385657904955,211.21577765217387
Apr19,19,109,4438.952232,1764.0113947818618,6105.291304347827,5042.970617391305,0.174,-3,214.95626183459999,85.42225179231166,210.12377572463768
Apr19,20,110,4430.80728,1657.8056633063577,6205.789130434781,5125.981821739129,0.174,1,214.561842534,80.27923924561036,213.58257590579706
Apr19,21,111,4427.904144,1759.235471184107,6491.666260869566,5362.116331478262,0.174,3,214.42125817319996,85.19097769209037,223.42151381159422
Apr19,22,112,4406.196288,1845.877304524864,6680.8524347826105,5518.384111130436,0.174,4,213.37005524639997,89.38660847161653,229.9326712971015
Apr19,23,113,4283.755824,1987.4699168616266,6559.693217391305,5418.306597565218,0.174,6,207.44087577719998,96.24323072402426,225.76277489855076
Apr19,24,114,4208.394744,2115.3169586737567,6404.57295652174,5290.177262086957,0.174,8,203.7915154782,102.43422372377665,220.42405258695655
Apr19,25,115,4104.685152,2281.1967718974156,6529.342695652174,5393.237066608696,0.174,10,198.7693784856,110.46695367913235,224.71821110869567
Apr19,26,116,4096.223975999999,2180.4316795851887,6581.094173913043,5435.983787652173,0.174,6,198.35964603779996,105.58740408391276,226.49932448550723
Apr19,27,117,4052.1978,2112.721154249434,6279.861652173911,5187.165724695651,0.174,5,196.22767846499997,102.30852189452884,216.13190519565214
Apr19,28,118,4070.7354000000005,1961.051692787658,6086.39947826087,5027.365969043479,0.174,10,197.125361745,94.96392822324235,209.47358204347827
Apr19,29,119,3772.4954879999996,2186.7368855443206,5980.760695652174,4940.108334608696,0.174,16,182.68309400639995,105.89273368248371,205.83784727536235
Apr19,30,120,1894.7340960000001,2223.0870745916714,5886.194956521739,4861.997034086957,0.174,12,91.7524985988,107.65299158710167,202.5832097536232
May19,1,121,1203.666168,2411.5686644533853,5856.065391304346,4860.534274782607,0.17,1,58.2875341854,116.78021257615518,202.5222614492753
May19,2,122,1341.805584,2132.0842590266325,6065.97252173913,5034.757193043478,0.17,3,64.9769354052,103.24618024336468,209.7815497101449
May19,3,123,1282.3501919999999,1846.0482175876937,6060.996695652175,5030.627257391305,0.17,6,62.09780804759999,89.39488493668405,209.60946905797104
May19,4,124,985.83204,2427.1002045301802,5913.828695652173,4908.477817391304,0.17,9,47.738916536999994,117.53232740437397,204.51990905797098
May19,5,125,1266.265104,2896.55396890586,5892.738347826085,4890.972828695651,0.17,13,61.318887661199994,140.26562594426625,203.79053452898543
May19,6,126,942.5159279999999,2703.6040401598193,6025.7191304347825,5001.34687826087,0.17,16,45.641333813399996,130.92202564473925,208.38945326086957
May19,7,127,819.0719760000001,2149.468770764457,6094.150869565218,5058.145221739131,0.17,17,39.6635604378,104.08802522426883,210.7560509057971
May19,8,128,1277.32788,2110.9527929548885,6019.043565217392,4995.806159130435,0.17,19,61.854602588999995,102.22288899884046,208.15858996376812
May19,9,129,948.092664,1952.2730464944616,5893.444173913043,4891.5586643478255,0.17,19,45.9113872542,94.53882227649429,203.81494434782607
